gene	WT5_N	WT6_N	WT7_N	WT8_N	Wt11N	Wt13N	Wt14N	Wt17N	Wt19N	Wt20N	Wt0O	WT1_O	WT2_O	WT3_O	WT4_O
K21966	9.86477541835408	8.535864499308726	11.098293067086438	11.886837651446939	8.29235068629517	9.361291226634588	9.97676158232951	11.820406828825181	9.594491496138945	8.231520423526963	6.170765180353103	9.574285214752512	7.248653147130699	7.56231167531442	7.927568944430874
K21967	18.285925165729516	17.071728998617452	21.231517171817533	22.939511257178303	17.72847388104485	18.722582453269176	14.133745574966808	17.570875015821215	11.787518123827846	14.111177868903363	12.855760792402299	16.59542770557102	19.329741725681863	17.09082438621059	13.662406053168102
K21968	9.3835668613612	7.777120988259062	9.650689623553424	8.133099445726852	6.576691923613412	7.313508770808271	6.928306654395494	7.028350006328486	6.030823226144479	6.4676231899140415	6.427880396201149	7.021142490818509	6.319338641088302	6.957326741289266	6.578195507080938
K21972	84.45210175225078	61.647910272785246	67.55482736487397	60.47689331437916	64.05126047345236	83.95908068887896	59.58343722780125	72.83926370194976	66.8873121445115	73.20173519493619	71.73514522160482	71.70075816381326	73.41584597734939	68.66579001185492	69.66140370319044
K21973	27.188283470097833	40.02372020786981	32.329810238903974	32.32385677147852	32.88345961806706	38.32278595903534	32.97873967492255	29.071811389813284	34.266041057639086	41.15760211763481	55.536886623177935	54.0415209899364	58.36095097946255	61.70846327056566	54.98696757200989
K21974	4.812085569928819	7.208063354971814	9.650689623553424	11.678296640018045	5.146976288045279	4.973185964149624	4.711248524988936	7.028350006328486	4.11192492691669	6.4676231899140415	6.170765180353103	2.76590461759517	5.761749937462864	4.234894538176075	2.698746874699872
K21975	1.2030213924822049	1.5174870220993293	2.8952068870660272	3.128115171433405	2.5734881440226394	1.4627017541616543	1.9399258632307383	1.597352274165565	1.0965133138444507	1.7638972336129204	0.7713456475441379	0.8510475746446677	1.8586290120847946	1.0587236345440187	1.68671679668742
K21976	0.9624171139857639	1.8968587776241614	3.86027584942137	3.5451971942911924	2.0016018897953862	2.047782455826316	0.8313967985274593	0.638940909666226	0.5482566569222254	0.8819486168064602	1.028460863392184	0.8510475746446677	0.9293145060423973	0.7562311675314419	1.180701757681194
K21990	18.7671337227224	17.071728998617452	30.39967231419329	27.110331485756177	19.444132643726608	13.74939648911955	14.410877841142627	20.765579564152347	12.609903109211183	15.875075102516284	15.426912950882759	18.72304664218269	18.028701417222507	15.427115817641415	13.49373437349936
K22014	1.443625670978646	1.327801144336913	1.4476034435330136	1.3555165742878088	0.8578293813408798	0.8776210524969925	1.8013597301428286	1.597352274165565	0.6853208211527817	0.5879657445376402	1.2855760792402298	0.7446666278140843	0.8363830554381575	0.8318542842845862	0.7590225585093391
K22015	80.84303757480417	60.699480883973166	147.17301675918972	154.5288894688102	43.74929844838487	46.80645613317294	41.569839926372964	66.13038415045439	42.76401923993358	32.92608169410785	28.79690417498115	25.7441891330012	26.578394872812563	33.57666383839602	29.854887301367334
K22041	47.399042863798876	48.74927058494095	38.36149125362486	40.665497228634266	58.33239793117983	57.337908763136845	60.414834026328705	58.46309323445968	59.485847276061456	55.85674573107581	56.05111705487403	46.80761660545672	52.41333814079121	47.03757862045569	49.758145502278886
K22044	32.48157759701953	35.091887386046984	36.67262056950301	42.333825320065415	24.305165804658262	24.573389469915792	23.27911035876886	37.05857276064111	22.47852293381124	22.048715420161507	19.283641188603447	17.871999067538024	21.00250783655818	21.930703858411817	19.734586521242814
K22051	73.14370066291806	69.61471713880672	80.10072387549343	86.75306075441976	82.92350686295171	84.25162103971128	72.8857860042406	78.5897318889458	76.75593196911156	80.84528987392552	67.62130176803609	81.91332905954927	71.74307986647307	73.50566948405616	67.80601522683428
K22104	73.3843049414145	73.02906293853022	77.20551698842739	70.90394388582385	79.20624621047457	86.00686314470526	87.57379611155905	72.83926370194976	80.59372856756713	88.78282742518365	58.87938442920253	62.551996736383074	75.27447498943418	64.73338794069143	65.10726835213441
K22105	128.24208043860304	112.48372551311277	92.64662038611287	98.01427537158003	121.81177215040493	131.64315787454888	131.36069416733858	134.81653193957368	132.40398264671742	135.23212124365725	144.75586652244988	133.827231112874	136.23750658581545	133.09668548553378	134.9373437349936
K22110	1.684229949475087	2.086544655386578	2.412672405888356	3.023844665718958	2.1445734533521996	0.8776210524969926	1.9399258632307383	3.034969320914574	1.5077058065361197	1.6169057974785104	1.1570184713162068	0.6382856809835008	0.5575887036254383	1.0587236345440187	1.771052636521791
K22111	4.330877012935938	6.6390057216845655	9.89195686414226	8.341640457155746	9.436123194749678	6.143347367478948	9.699629316153692	8.945172735327164	7.675593196911155	5.585674573107581	3.3424978060245976	3.8297140859010046	3.9031209253780688	4.3861407716823635	3.8794486323810657
K22130	3.609064177446615	3.4143457997234905	2.8952068870660272	3.3366561828622987	2.859431271136266	3.51048420998797	1.9399258632307383	1.597352274165565	1.3706416423055634	1.1759314890752803	2.3140369426324137	1.4893332556281684	2.2303548145017538	2.722432203113191	1.349373437349936
K22131	3.368459898950174	4.552461066297988	5.307879292954383	5.422066297151235	2.859431271136266	3.51048420998797	2.7713226617581976	3.514175003164243	3.0154116130722395	4.115760211763481	3.3424978060245976	4.042475979562171	4.832435431420466	3.3274171371383443	4.385463671387292
K22132	25.02284496362986	27.12508052002551	31.8472757577263	28.98720058861622	29.45214209270354	34.22722104738271	31.038813811691814	29.391281844646397	38.926222641478	32.33811594957021	39.33862802475104	37.871617071687716	33.82704801994326	35.84535734099035	38.28847128480443
K22214	8.902358304368317	9.484293888120808	9.650689623553424	7.507476411440172	9.15018006763605	9.653831577466917	10.53102611468115	8.306231825660939	10.965133138444507	7.055588934451682	7.970571691289425	7.872190065463177	8.549693455590056	5.747356873238958	7.084210546087164
K22293	49.56448137026684	44.95555302969263	59.83427566603123	49.84130173150559	47.18061597374839	46.22137543150827	46.83535298371354	40.89221821863846	45.5053025245447	51.74098551931233	27.768443311588968	36.80780760338188	31.41083030423303	31.610462802814272	36.26441112877953
K22300	84.69270603074723	92.94608010358391	103.02111173143281	102.1850956001579	79.77813246470183	78.10827367223234	95.88776409683364	77.63132052444647	80.0454719106449	78.49342689577496	76.87744953856574	89.78551912501244	94.975942517533	86.81533803260953	85.68521327172094
K22302	0.24060427849644098	0.5690576332872485	0.2412672405888356	0.20854101142889367	0.8578293813408798	0.5850807016646618	0.27713226617581976	0.0	0.5482566569222254	0.8819486168064602	0.257115215848046	0.21276189366116693	0.18586290120847945	0.7562311675314419	0.674686718674968
K22304	1.2030213924822049	0.5690576332872485	1.206336202944178	2.29395112571783	1.1437725084545063	0.2925403508323309	1.108529064703279	0.9584113644993391	0.5482566569222254	0.0	0.257115215848046	1.0638094683058346	0.9293145060423973	0.30249246701257676	0.337343359337484
K22396	13.233235317304253	10.622409154695305	11.218926687380856	12.616731191448068	12.009611338772316	9.94637192829925	12.6095181109998	13.417759102990747	11.376325631136176	8.966477604199012	8.099129299213448	8.510475746446676	6.96985879531798	8.696658426611583	8.770927342774582
K22397	3.007553481205512	4.457618127416779	4.101543090010205	3.6494677000056392	3.5742890889203327	3.364214034571805	2.6327565286702876	3.993380685413913	3.152475777302796	3.0868201588226105	2.6997097664044825	3.5105712454092544	3.159669320544151	3.403040253891489	2.783082714534243
K22443	3.609064177446615	3.604031677485907	2.6539396464771916	2.7110331485756176	2.2875450169090126	4.095564911652632	2.7713226617581976	2.236293183831791	2.467154956150014	3.2338115949570208	2.3140369426324137	0.8510475746446677	2.6020806169187125	1.966201035581749	2.024060156024904
K22444	6.255711240907465	6.259633966159733	7.72055169884274	7.2989354000112785	4.575090033818025	2.9254035083233085	5.819777589692215	6.069938641829147	6.579079883066704	5.585674573107581	4.885189101112874	5.319047341529173	3.5313951229611096	4.234894538176075	3.204761913706098
K22486	1.2030213924822049	3.0349740441986586	5.307879292954383	4.170820228577873	1.1437725084545063	1.1701614033293235	1.3856613308790988	1.9168227289986781	1.0965133138444507	1.7638972336129204	2.3140369426324137	1.0638094683058346	1.6727661108763152	2.722432203113191	2.192731835693646
K22501	0.48120855699288195	1.138115266574497	1.6888706841218493	0.41708202285778734	1.1437725084545063	0.2925403508323309	0.8313967985274593	0.319470454833113	1.0965133138444507	0.2939828722688201	0.514230431696092	0.42552378732233387	0.9293145060423973	0.15124623350628838	0.337343359337484
K22597	2.646647063460851	3.0349740441986586	3.86027584942137	4.58790225143566	2.5734881440226394	1.755242104993985	3.325587194109837	3.19470454833113	2.1930266276889014	2.6458458504193807	1.5426912950882758	2.127618936611669	1.4869032096678356	1.3612161015565956	2.192731835693646
K22650	6.015106962411025	4.93183282182282	6.272948255309726	4.379361240006767	3.4313175253635193	4.388105262484963	3.325587194109837	2.875234093498017	4.660181583838916	3.2338115949570208	24.168830289716322	26.3824748139847	19.329741725681863	19.359517888804913	22.264661716273945
K22718	8.902358304368317	7.587435110496646	11.822094788852946	11.469755628589152	5.4329194151589055	4.680645613317294	6.651174388219674	8.625702280494052	6.030823226144479	2.6458458504193807	4.628073885264827	8.935999533769012	5.018298332628945	6.806080507782977	6.74686718674968
K22719	58.94804823162804	58.423250350824176	59.83427566603123	56.72315510865908	60.04805669386159	66.11411928810678	78.15129906158117	64.85250233112194	68.53208211527817	70.55588934451681	77.90591040195794	75.10494846239193	70.44203955801372	76.22810168716934	73.70952401524025
K22720	131.36993605905678	146.05812587706043	233.54668888999288	213.3374546917582	201.58990461510675	127.25505261206392	133.02348776439348	182.09815925487442	138.70893420132302	112.59544007895809	49.62323665867287	40.42475979562172	55.2012816589184	55.05362899628897	46.216040229235304
K22900	19.72955083670816	23.710734720302018	28.710801630071437	25.65054440575392	38.888265287453216	29.839115784897746	33.53300420727419	26.51604775114838	31.52475777302796	30.868201588226107	25.968636800652643	26.807998601307034	26.206669070395606	28.888030599701082	24.626065231636332
K23007	6.255711240907465	5.500890455110069	6.755482736487397	5.839148320009023	3.4313175253635193	4.095564911652632	4.711248524988936	4.472586367663582	3.8377965984555775	3.527794467225841	2.056921726784368	3.8297140859010046	2.9738064193356712	2.268693502594326	2.024060156024904
K23015	4.571481291432379	1.7071728998617453	3.86027584942137	4.58790225143566	4.0032037795907724	0.8776210524969925	2.4941903955823777	0.9584113644993391	2.1930266276889014	2.3518629781505607	1.28557607924023	2.3403808302728364	1.4869032096678356	2.722432203113191	2.53007519503113
K23016	13.233235317304255	14.036754954418795	14.476034435330137	12.51246068573362	11.72366821165869	10.23891227913158	10.53102611468115	13.098288648157633	13.706416423055634	8.525503295795781	10.798839065617932	12.55295172600885	14.125580491844438	10.435990111933899	10.457644139462003
K23072	266.10833201706373	175.45943693023494	279.8699990830493	254.42003394325027	189.58029327633443	205.07078593346392	157.68825945404146	130.66341602674322	145.0138857559286	192.55878133607715	214.43409001727034	213.18741744848927	187.72153022056426	213.4084354773729	203.2493740008341
K23073	122.46757775468846	86.30707438189935	148.13808572154505	128.2527220287696	55.187023532929935	49.146778939831584	45.44969165283444	29.071811389813284	37.82970932763355	60.85445455964575	81.76263863967863	89.99828101867361	82.52312813656488	91.65521750481076	96.98621580952666
K23107	105.38467398144115	104.89629040261613	132.45571508327075	121.16232764018721	108.08650204895085	77.8157333214	80.64548945716355	106.38366145942663	89.36583507832273	94.07451912602242	87.41917338833564	86.38132882643377	84.75348295106663	78.34554895625739	84.84185487337723
K23123	89.50479160067604	87.44518964847384	80.5832583566711	83.20786356012857	111.23187644720075	101.51150173881881	100.59901262182257	104.46683873042795	89.36583507832273	84.37308434115135	87.67628860418368	82.3388528468716	76.76137819910201	84.6978907635215	79.44436112397749
K23124	110.67796810836285	100.53351521408057	113.39560307675274	122.62211472018947	148.97636922619947	121.40424559541731	129.97503283645946	137.6917660330717	142.2726024713175	119.94501188567858	110.30242759881173	84.8919955708056	73.97343468097483	91.95770997182333	84.84185487337723
