category_id,category_name,k_study_hits,n_study_total,K_background_hits,N_background_total,gene_ratio,bg_ratio,fold_enrichment,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,study_items,q_value
01210,2-Oxocarboxylic acid metabolism,1,107,25,780,1/107,25/780,0.2915887850467289,0.25511006289308175,0.03415018700477997,1.9057331715402555,0.9765124095589198,K03737,1.0
01110,Biosynthesis of secondary metabolites,20,107,242,780,20/107,242/780,0.6024561674519193,0.46701874288081185,0.27990565911152243,0.7792143499144975,0.999314900634778,"K00067,K00104,K00240,K00241,K00973,K01091,K01208,K01580,K01758,K01809,K03182,K03186,K03737,K05349,K11472,K11473,K17830,K17836,K18911,K25026",1.0
03010,Ribosome,1,107,56,780,1/107,56/780,0.130173564753004,0.10600343053173242,0.014512765017487465,0.7742650880763168,0.999814728131144,K02919,1.0
01230,Biosynthesis of amino acids,1,107,79,780,1/107,79/780,0.0922749319768129,0.0719641993226899,0.009903131523698396,0.5229503386643669,0.9999955999815842,K01758,1.0
01240,Biosynthesis of cofactors,3,107,115,780,3/107,115/780,0.1901665989435189,0.14448832417582416,0.04504222260275604,0.4634956850877212,0.9999975069112982,"K01809,K03182,K03186",1.0
05200,Pathways in cancer,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
00660,C5-Branched dibasic acid metabolism,0,107,5,780,0/107,5/780,0.0,0.5653276955602538,0.03103570494658982,10.297668569715661,1.0,,1.0
04714,Thermogenesis,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
04146,Peroxisome,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",0,107,17,780,0/107,17/780,0.0,0.17448504983388705,0.010415283325316093,2.9231113225246883,1.0,,1.0
05134,Legionellosis,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
00350,Tyrosine metabolism,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
04922,Glucagon signaling pathway,0,107,4,780,0/107,4/780,0.0,0.6919896640826874,0.03699145015649181,12.944874914919621,1.0,,1.0
00640,Propanoate metabolism,0,107,8,780,0/107,8/780,0.0,0.36415868673050616,0.02086563479726826,6.355500343495347,1.0,,1.0
05230,Central carbon metabolism in cancer,0,107,5,780,0/107,5/780,0.0,0.5653276955602538,0.03103570494658982,10.297668569715661,1.0,,1.0
00053,Ascorbate and aldarate metabolism,0,107,3,780,0/107,3/780,0.0,0.891029900332226,0.04570227832560695,17.371875371937765,1.0,,1.0
05208,Chemical carcinogenesis - reactive oxygen species,0,107,2,780,0/107,2/780,0.0,1.2493023255813953,0.05956705568667274,26.20166940788176,1.0,,1.0
