category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00157,"F-type ATPase, prokaryotes and chloroplasts",8,0.623755806237557,1.2889223309149498,0.21206030150753769,8,"K02114,K02108,K02109,K02111,K02113,K02112,K02115,K02110",0.49936780677581455
M00995,"UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc",5,-0.6787634546065844,-1.27375521948386,0.21783181357649442,4,"K00790,K03431,K04042,K00820",0.5048165838439395
M00572,"Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",7,-0.6356806480309249,-1.2658441986436506,0.22718052738336714,5,"K00208,K09458,K00059,K02372,K02169",0.5182555780933062
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",3,-0.7578170173278146,-1.2370264198141723,0.23552894211576847,2,"K09903,K00940",0.5290342392138799
M00120,"Coenzyme A biosynthesis, pantothenate => CoA",4,-0.6914531384041993,-1.2357379803479158,0.24518743667679838,1,K00954,0.5367252407911183
M00307,"Pyruvate oxidation, pyruvate => acetyl-CoA",4,0.7080157227403868,1.2228710799300233,0.24630541871921183,2,"K00163,K00627",0.5367252407911183
M00083,"Fatty acid biosynthesis, elongation",6,-0.6256631299734743,-1.2232910896752507,0.2540485829959514,6,"K00647,K00208,K09458,K00059,K02372,K01716",0.5454572517266015
M00746,"Multidrug resistance, repression of porin OmpF",3,0.7370289908107466,1.213151121902403,0.268,2,"K09476,K18513",0.5670724637681159
M01022,"dTDP-6-deoxy-L-Tal biosynthesis, Glc-1P => dTDP-6-deoxy-L-Tal",3,-0.7345408342203545,-1.1990314252468952,0.2834331337325349,2,"K00973,K01710",0.5774343574907532
M00549,"UDP-Glc biosynthesis, Glc => UDP-Glc",3,0.722635210814875,1.1894589326288174,0.294,1,K00845,0.5774343574907532
M00165,Reductive pentose phosphate cycle (Calvin cycle),11,0.5220326658158084,1.1600443209484768,0.2988394584139265,4,"K00927,K01624,K00615,K01803",0.5774343574907532
M00740,Methylaspartate cycle,5,-0.6339334408736418,-1.1896280267271937,0.2988855116514691,3,"K01647,K00031,K00024",0.5774343574907532
M00017,"Methionine biosynthesis, aspartate => homoserine => methionine",11,-0.5172154732975598,-1.1607929548190872,0.29958677685950413,6,"K12525,K00133,K00548,K12524,K00872,K00928",0.5774343574907532
M00121,"Heme biosynthesis, plants and bacteria, glutamate => heme",11,-0.5168159888487137,-1.1598963870292183,0.30165289256198347,3,"K01845,K01772,K00228",0.5774343574907532
M00526,"Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine",7,-0.6001051709062377,-1.1950020053634889,0.30425963488843816,5,"K12525,K00133,K00215,K12524,K00928",0.5774343574907532
M00087,beta-Oxidation,5,-0.6286068502916008,-1.1796322432036674,0.3059777102330294,3,"K01782,K00632,K01825",0.5774343574907532
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P",5,0.6370520087140595,1.1566110056787224,0.31231527093596056,4,"K00615,K00616,K01808,K01807",0.5774343574907532
M00345,"Formaldehyde assimilation, ribulose monophosphate pathway",3,0.7111626366346537,1.170575053688677,0.318,3,"K01624,K00850,K16370",0.5774343574907532
M00866,"KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",8,-0.5454426997329221,-1.142839894066253,0.3227408142999007,5,"K00677,K00912,K02517,K02527,K03269",0.5774343574907532
M00022,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",7,-0.5863836762127445,-1.167678105370181,0.3265720081135903,6,"K00014,K01735,K01736,K00891,K00800,K01626",0.5774343574907532
M00133,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine",5,-0.6178321031505425,-1.1594125476434571,0.3272543059777102,3,"K00797,K01611,K01480",0.5774343574907532
M00417,Cytochrome o ubiquinol oxidase,4,-0.6489608079977063,-1.159797350910638,0.3282674772036474,3,"K02298,K02300,K02299",0.5774343574907532
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",5,-0.6134164277500092,-1.1511261710702871,0.3343465045592705,3,"K01647,K01682,K00031",0.5811260674482559
M00050,"Guanine ribonucleotide biosynthesis, IMP => GDP,GTP",4,-0.6419065447957296,-1.1471902478722866,0.3394123606889564,1,K00940,0.5829906430657369
M00874,"Fatty acid biosynthesis in mitochondria, fungi",3,-0.6998658138428027,-1.1424294813292495,0.34930139720558884,2,"K09458,K00059",0.5910931174089068
M00060,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",9,-0.5135478050218261,-1.1100925668470134,0.35640495867768596,6,"K02560,K00677,K00912,K02517,K02527,K03269",0.5910931174089068
M00958,"Adenine ribonucleotide degradation, AMP => Urate",14,0.4640702293955864,1.0865936251292392,0.36525172754195456,3,"K11178,K11177,K13483",0.5910931174089068
M01049,"Sulfoquinovose degradation, sulfoglycolytic Embden-Meyerhof pathway, beta-sulfoquinovose => (S)-DHPS",4,0.6456849217206945,1.1152145244218576,0.36551724137931035,3,"K08318,K01671,K18478",0.5910931174089068
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",4,0.6451292246521009,1.1142547351791063,0.3665024630541872,4,"K07404,K01625,K00036,K01690",0.5910931174089068
M00082,"Fatty acid biosynthesis, initiation",6,-0.5757747621579842,-1.1257497884486338,0.3684210526315789,4,"K01962,K00648,K02160,K01961",0.5910931174089068
M00525,"Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine",6,-0.5740215158825537,-1.1223218566367794,0.3724696356275304,4,"K00133,K01778,K00215,K00928",0.5910931174089069
M00957,"Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA",8,-0.5169226201226697,-1.0830831409251773,0.381330685203575,3,"K01782,K15737,K01825",0.5986481724701285
M00959,"Guanine ribonucleotide degradation, GMP => Urate",15,0.45311797711860485,1.057264034363506,0.40634005763688763,3,"K11178,K11177,K13483",0.6311239193083574
M00530,"Dissimilatory nitrate reduction, nitrate => ammonia",8,0.5146811283382132,1.0635315823625004,0.4150753768844221,3,"K00371,K00374,K00370",0.6338054187192118
